Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK
3;;LEDCHIP-LED0603;CHIP-LED0603;LED1, LED2, LED4;LED;;;;
1;;MICROMATCH-4;MICROMATCH-4;X4;MicroMaTch 4  7-215464-4 / 0-215464-4;;7-215464-4;3784629;19R8124
1;100k;R-EU_R0603;R0603;R13;RESISTOR, European symbol;;;;
2;100mA;PTCSMD;PTC-1206;F1, F2;Resettable Fuse PTC;;;;
7;100nF;C-EUC0603K;C0603K;C3, C4, C9, C10, C11, C12, C13;CAPACITOR, European symbol;;;;
5;10k;R-EU_R0603;R0603;R3, R4, R10, R11, R12;RESISTOR, European symbol;;;;
4;10uF;C-EUC1206K;C1206K;C1, C6, C14, C15;CAPACITOR, European symbol;;;;
2;120;R-EU_R0603;R0603;R5, R9;RESISTOR, European symbol;;;;
1;12V;ZENER-DIODESOD123;SOD123;D1;Z-Diode;;;;
3;1k;R-EU_R0603;R0603;R6, R7, R8;RESISTOR, European symbol;;;;
2;1uF;C-EUC0603K;C0603K;C2, C8;CAPACITOR, European symbol;;;;
2;22;R-EU_R0603;R0603;R1, R2;RESISTOR, European symbol;;;;
1;33nF;C-EUC0603K;C0603K;C5;CAPACITOR, European symbol;;;;
1;470uF-16V;CPOL-EUE3.5-8;E3,5-8;C7;POLARIZED CAPACITOR, European symbol;;;;
2;560;R-EU_R0603;R0603;R16, R17;RESISTOR, European symbol;;;;
1;ATMEGA8U2AU;ATMEGA8U2AU;TQFP32-08;U1;Atmel 8-bit Microcontroller with 8/16/32K Bystes of ISP Flash and USB Controller. ATmega8U2, ATmega16U2, and ATmega32U2;;;;
1;ENC;MICROMATCH-4;MICROMATCH-4;X3;MicroMaTch 4  7-215464-4 / 0-215464-4;;7-215464-4;3784629;19R8124
1;FUSE_5A;R-US_R1206;R1206;F3;RESISTOR, American symbol;;;;
1;HWB;ADTSM3;ADTSM3;S1;;;;;
1;LDO;V_REG_LDOSMD;SOT23-5;U5;Voltage Regulator LDO;;;;
1;LOGIC_IN;MICROMATCH-8;MICROMATCH-8;X5;MicroMaTch 8  7-215464-8 / 0-215464-8;FARNELL;7-215464-8;3784642;26H0301
1;MC33887-HSOP;MC33887-HSOP;HSOP;U3;5.0 A H-Bridge with Load Current Feedback;;;;
1;MINI-USB;MINI-USB-SCHIELD-32005-301;32005-301;X1;MINI USB-B Conector;;;unknown;unknown
1;MOTOR;M023.5MM;SCREWTERMINAL-3.5MM-2;JP1;Header 2;;;;
1;NFET-SOIC8;MOSFET-NCHANNEL-SOIC8;SO08;U4;N-Channel MOSFET;;;;
1;PWR;M023.5MM;SCREWTERMINAL-3.5MM-2;JP2;Header 2;;;;
1;R485-IO;MICROMATCH-6;MICROMATCH-6;X6;MicroMaTch 6  7-215464-6 / 0-215464-6;;7-215464-6;3784630;19R8125
1;RESET;ADTSM3;ADTSM3;S2;;;;;
1;SI8441IS1;SI8441IS1;SO16;U2;Si8441 4 Channel (3/1) Digital Isolator;;;;
1;SMDRESONATOR;SMDRESONATOR45X20;PBRC-M;Y1;;;;;
1;SN75179BDR;SN75179BDR;SOIC8;U$2;;;;;
